,activity_type,acc_x,acc_y,acc_z
642,Still,996,-24,37
643,Still,996,-25,37
644,Still,996,-25,37
645,Still,996,-24,38
646,Still,996,-23,38
647,Still,996,-24,37
648,Still,996,-24,37
649,Still,996,-24,37
650,Still,997,-23,38
651,Still,996,-24,38
652,Still,996,-23,38
653,Still,996,-23,38
654,Still,997,-24,38
655,Still,997,-25,37
656,Still,996,-24,37
657,Still,996,-24,37
658,Still,997,-24,37
659,Still,997,-24,37
660,Still,996,-24,37
661,Still,997,-24,38
662,Still,997,-24,38
663,Still,996,-24,37
664,Still,996,-24,37
665,Still,996,-24,37
666,Still,996,-24,37
667,Still,996,-24,37
668,Still,997,-23,36
669,Still,997,-24,38
670,Still,997,-24,38
671,Still,996,-23,38
672,Still,996,-24,37
673,Still,996,-24,37
674,Still,997,-24,37
675,Still,997,-24,37
676,Still,996,-24,38
677,Still,996,-23,38
678,Still,997,-24,37
679,Still,997,-24,37
680,Still,996,-24,38
681,Still,996,-24,37
682,Still,997,-23,37
683,Still,996,-24,38
684,Still,996,-24,38
685,Still,997,-24,37
686,Still,997,-23,37
687,Still,996,-24,37
688,Still,996,-24,37
689,Still,997,-24,38
690,Still,996,-23,37
691,Still,996,-23,38
692,Still,996,-24,37
693,Still,996,-24,37
694,Still,997,-24,38
695,Still,996,-23,38
696,Still,997,-24,37
697,Still,997,-24,37
698,Still,997,-23,38
699,Still,996,-23,38
700,Still,996,-23,38
701,Still,996,-23,37
702,Still,996,-24,37
703,Still,996,-24,37
704,Still,997,-23,38
705,Still,996,-24,37
706,Still,996,-24,37
707,Still,996,-23,37
708,Still,996,-24,38
709,Still,997,-24,37
710,Still,997,-24,37
711,Still,996,-23,37
712,Still,996,-24,37
713,Still,995,-24,38
714,Still,996,-24,37
715,Still,996,-24,37
716,Still,996,-24,37
717,Still,996,-24,37
718,Still,997,-23,38
719,Still,997,-23,38
720,Still,996,-24,37
721,Still,996,-23,37
722,Still,996,-24,37
723,Still,996,-24,38
724,Still,996,-24,38
725,Still,996,-23,38
726,Still,996,-24,37
727,Still,997,-24,37
728,Still,997,-24,37
729,Still,997,-24,37
730,Still,997,-24,38
731,Still,996,-24,38
732,Still,996,-24,38
733,Still,996,-24,38
734,Still,996,-24,37
735,Still,996,-24,38
736,Still,996,-24,38
737,Still,996,-24,38
738,Still,996,-23,37
739,Still,996,-23,38
740,Still,996,-24,37
741,Still,996,-24,38
742,Still,996,-24,38
743,Still,996,-24,37
744,Still,996,-23,37
745,Still,996,-23,38
746,Still,996,-23,38
747,Still,996,-24,37
748,Still,996,-24,38
749,Still,997,-24,38
750,Still,997,-24,38
751,Still,996,-24,38
752,Still,996,-24,37
753,Still,997,-24,38
754,Still,996,-23,37
755,Still,996,-23,37
756,Still,996,-24,37
757,Still,996,-24,37
758,Still,996,-25,37
759,Still,996,-25,37
760,Still,994,-23,38
761,Still,988,-22,39
762,Still,1019,-29,35
763,Still,987,-23,36
764,Still,987,-23,36
765,Still,988,-22,38
766,Still,1009,-24,39
767,Still,978,-24,36
768,Still,978,-24,36
769,Still,1015,-24,37
